region_name,region_type,observation,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22
North and Middle Andaman,district,active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North and Middle Andaman,district,confirmed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
North and Middle Andaman,district,deceased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North and Middle Andaman,district,recovered,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
South Andaman,district,active,5.0,6.0,10.0,17.0,22.0,22.0,22.0,18.0,18.0,17.0,17.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Andaman,district,confirmed,15.0,16.0,20.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
South Andaman,district,deceased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Andaman,district,recovered,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0,15.0,15.0,25.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Unknown,district,active,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,district,confirmed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,district,deceased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,district,recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicobars,district,active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicobars,district,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicobars,district,deceased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicobars,district,recovered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,district,active,31.0,31.0,32.0,31.0,34.0,35.0,35.0,36.0,37.0,37.0,41.0,43.0,50.0,50.0,52.0,42.0,40.0,53.0,54.0,58.0,66.0,63.0,65.0,62.0,62.0,25.0,47.0,45.0,45.0,40.0,40.0,40.0
Anantapur,district,confirmed,36.0,36.0,42.0,46.0,51.0,53.0,53.0,54.0,58.0,61.0,67.0,71.0,78.0,78.0,80.0,80.0,83.0,99.0,102.0,107.0,115.0,115.0,118.0,118.0,122.0,122.0,122.0,122.0,122.0,136.0,136.0,136.0
Anantapur,district,deceased,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Anantapur,district,recovered,2.0,2.0,7.0,11.0,13.0,14.0,14.0,14.0,17.0,20.0,22.0,24.0,24.0,24.0,24.0,34.0,39.0,42.0,44.0,45.0,45.0,48.0,49.0,52.0,56.0,93.0,71.0,73.0,73.0,92.0,92.0,92.0
Chittoor,district,active,49.0,55.0,62.0,62.0,62.0,60.0,57.0,58.0,61.0,64.0,58.0,56.0,44.0,37.0,34.0,14.0,14.0,11.0,22.0,38.0,47.0,57.0,68.0,74.0,88.0,96.0,100.0,110.0,109.0,110.0,110.0,110.0
Chittoor,district,confirmed,53.0,59.0,73.0,73.0,73.0,73.0,73.0,74.0,77.0,80.0,80.0,80.0,81.0,82.0,82.0,82.0,82.0,85.0,96.0,112.0,121.0,131.0,142.0,151.0,165.0,173.0,177.0,192.0,192.0,208.0,208.0,208.0
Chittoor,district,deceased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Chittoor,district,recovered,4.0,4.0,11.0,11.0,11.0,13.0,16.0,16.0,16.0,16.0,22.0,24.0,37.0,45.0,48.0,68.0,68.0,74.0,74.0,74.0,74.0,74.0,74.0,77.0,77.0,77.0,77.0,82.0,82.0,97.0,97.0,97.0
