,index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max,R_big,F,H,icu_mean,icu_min,icu_max
0,5/6/20,18.7724547378,105.2622030118,45.0,5.0,155.2622030118,1,98.65166550161723,111.87274052198278,0.937199323963971,1.0628006760360291,42.173969578378696,47.82603042162131,4.685996619819855,5.314003380180146,145.51163169981578,165.01277432378424,51.13821559950001,50,1,0.02,0.01874398647927942,0.021256013520720582
1,5/7/20,21.3383263489,109.21472676329999,45.0,5.0,159.2147267633,13,102.35596808947456,116.07348543712544,12.183591211531622,13.81640878846838,42.173969578378696,47.82603042162131,4.685996619819855,5.314003380180146,149.21593428767312,169.2135192389269,63.21102794680001,50,13,0.26,0.24367182423063247,0.2763281757693676
2,5/8/20,23.0110981423,113.46112933020001,45.0,5.0,163.4611293302,24,106.33569370445213,120.5865649559479,22.492783775135305,25.5072162248647,42.173969578378696,47.82603042162131,4.685996619819855,5.314003380180146,153.19565990265068,173.72659875774937,74.401148804,50,24,0.48,0.44985567550270605,0.510144324497294
3,5/9/20,23.99398224,116.742123909,45.9,5.1000000000000005,167.742123909,33,109.41063960563294,124.07360821236708,30.92757769081104,35.07242230918896,43.017448969946265,48.78255103005373,4.779716552216253,5.420283447783749,157.20780512779544,178.27644269020456,84.8320796254,51,33,0.66,0.6185515538162208,0.7014484461837792
4,5/10/20,24.468739450799998,119.8253097971,47.7,5.300000000000001,172.8253097971,41,112.30019933561552,127.3504202585845,38.42517228252281,43.57482771747719,44.70440775308142,50.695592246918594,4.967156417009047,5.632843582990955,161.97176350570598,183.67885608849406,94.61535189920001,53,41,0.8200000000000001,0.7685034456504563,0.871496554349544
5,5/11/20,24.5989531525,122.5011050453,49.5,5.5,177.5011050453,48,114.80795283329455,130.19425725730545,44.98556755027061,51.0144324497294,46.391366536216566,52.60863346378344,5.15459628180184,5.84540371819816,166.35391565131295,188.64829443928704,103.85227471389999,55,48,0.96,0.8997113510054121,1.020288648994588
6,5/12/20,24.4705715216,124.6565440751,52.2,5.800000000000001,182.6565440751,54,116.82802883486868,132.48505931533134,50.608763494054436,57.39123650594557,48.92180471091929,55.47819528908072,5.435756078991032,6.1642439210089695,171.18558962477897,194.127498525421,112.6023523879,58,54,1.08,1.0121752698810886,1.1478247301189115
7,5/13/20,24.1415207612,126.2136865145,54.9,6.1000000000000005,187.2136865145,59,118.28738167638996,134.13999135261005,55.29476011387429,62.70523988612572,51.452242885622006,58.347757114378,5.716915876180224,6.483084123819778,175.4565404381922,198.97083259080785,120.9096650786,61,59,1.18,1.1058952022774857,1.2541047977225144
8,5/14/20,23.6699973062,127.0944782335,58.5,6.5,192.0944782335,63,119.11285907998982,135.07609738701018,59.04355740973017,66.95644259026983,54.8261604518923,62.1738395481077,6.091795605765811,6.90820439423419,180.03081513764795,204.1581413293521,128.8179482371,65,63,1.26,1.1808711481946035,1.3391288518053968
9,5/15/20,23.1118707493,128.2239722351,62.1,6.9,197.2239722351,67,120.17142009471071,136.27652437548932,62.79235470558606,71.20764529441395,58.2000780181626,65.99992198183742,6.4666753353514,7.333324664648601,184.83817344822472,209.60977102197532,136.3692186982,69,67,1.34,1.2558470941117212,1.4241529058882791
