,index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max,R_big,F,H,icu_mean,icu_min,icu_max
0,5/6/20,3968.9452005445,7208.0760881224,1136.7,126.30000000000001,8471.0760881224,2253,5949.175027658599,8466.9771485862,1859.5102456536695,2646.4897543463308,938.1736778670777,1335.2263221329224,104.24151976300864,148.35848023699137,6991.590225288685,9950.561950956115,3516.3242135848996,1263,2253,45.06,37.19020491307339,52.92979508692662
1,5/7/20,3994.3050380819,7851.8805764053,1274.4,141.6,9267.8805764053,3216,6480.538117831645,9223.223034978957,2654.3208832766095,3777.6791167233905,1051.824170910358,1496.9758290896423,116.86935232337309,166.3306476766269,7649.231641065375,10886.529511745224,4632.4237533647,1416,3216,64.32000000000001,53.086417665532196,75.55358233446782
2,5/8/20,3972.2513113802,8430.2756489896,1470.6000000000001,163.4,10064.2756489896,4049,6957.915642690102,9902.6356552891,3341.836211563119,4756.163788436881,1213.7575531550317,1727.4424468449686,134.86195035055908,191.93804964944093,8306.535146195693,11822.016151783508,5683.182584918301,1634,4049,80.98,66.83672423126238,95.12327576873763
3,5/9/20,3915.569557643,8944.9221862621,1718.1000000000001,190.9,10853.9221862621,4769,7382.678407425297,10507.165965098902,3936.0871555802705,5601.9128444197295,1418.0313151609275,2018.1686848390727,157.55903501788083,224.24096498211918,8958.268757604106,12749.575614920093,6678.3149382203,1909,4769,95.38,78.7217431116054,112.03825688839459
4,5/10/20,3838.5765920672998,9397.6809106376,2009.7,223.3,11630.6809106376,5395,7756.362156553273,11038.999664721929,4452.755337461849,6337.244662538151,1658.7029474878736,2360.6970525121264,184.30032749865265,262.2996725013474,9599.3654315398,13661.996389735401,7628.5527688151,2233,5395,107.9,89.05510674923698,126.74489325076303
5,5/11/20,3753.1014146783,9790.354063721199,2339.1,259.90000000000003,12389.354063721199,5943,8080.454367539551,11500.253759902847,4905.04633374157,6980.95366625843,1930.5727543757203,2747.6272456242796,214.50808381952453,305.29191618047554,10225.535205734795,14553.172921707603,8542.9015262663,2599,5943,118.86,98.1009266748314,139.61907332516859
6,5/12/20,3660.1985817811,10127.4624331453,2702.7000000000003,300.3,13130.4624331453,6419,8358.686265826154,11896.238600464445,5297.912235619576,7540.087764380424,2230.669481104382,3174.7305188956184,247.85216456715355,352.7478354328465,10837.20791149769,15423.71695479291,9422.981250711899,3003,6419,128.38,105.9582447123915,150.80175528760847
7,5/13/20,3562.5445707987,10414.620028346,3095.1,343.90000000000003,13853.620028346,6832,8595.69136586742,12233.54869082458,5638.78117989608,8025.21882010392,2554.5362455937293,3635.6637544062705,283.83736062152553,403.96263937847453,11434.064972082675,16273.175084609325,10271.4931188113,3439,6832,136.64000000000001,112.77562359792162,160.5043764020784
8,5/14/20,3463.8289792415003,10653.2519180726,3512.7000000000003,390.3,14556.2519180726,7188,8792.645846065514,12513.857990079685,5932.605257771227,8443.394742228773,2899.2017931236774,4126.198206876324,322.1335325692975,458.46646743070255,12013.981171758489,17098.52266438671,11091.8047734395,3903,7188,143.76,118.65210515542454,168.86789484457543
9,5/15/20,3366.3202540375,10848.4662619484,3951.9,439.1,15239.4662619484,7495,8953.765718473685,12743.166805423116,6185.987257511874,8804.012742488127,3261.6948689741394,4642.105131025861,362.41054099712665,515.7894590028734,12577.871128444953,17901.06139545185,11886.288381934399,4391,7495,149.9,123.71974515023749,176.08025484976253
10,5/16/20,3269.5344972682,11002.6253664298,4410.0,490.0,15902.6253664298,7755,9081.000709261061,12924.250023598539,6400.577876184734,9109.422123815266,3639.787032105052,5180.212967894948,404.42078134500576,575.5792186549942,13125.20852271112,18680.04221014848,12655.410669441502,4900,7755,155.1,128.01155752369468,182.1884424763053
11,5/17/20,3173.5661836719,11120.4151330277,4884.3,542.7,16547.4151330277,7973,9178.21832036712,13062.61194568828,6580.503856456594,9365.496143543405,4031.2498414763504,5737.35015852365,447.9166490529279,637.4833509470723,13657.3848108964,19437.445455159002,13400.010114069699,5427,7973,159.46,131.6100771291319,187.30992287086812
12,5/18/20,3079.1652599237,11203.7538030694,5372.1,596.9,17172.753803069398,8152,9247.001769457973,13160.505836680826,6728.241243927525,9575.758756072475,4433.85485604797,6310.34514395203,492.6505395608856,701.1494604391144,14173.507165066827,20172.00044107197,14121.350558915301,5969,8152,163.04,134.5648248785505,191.5151751214495
13,5/19/20,2987.6864952876,11256.8517017744,5870.7,652.3000000000001,17779.8517017744,8298,9290.826042278492,13222.877361270308,6848.742129797669,9747.257870202331,4845.373634779848,6896.026365220152,538.3748483088721,766.2251516911281,14674.574525367212,20885.12887818159,14821.0866927081,6523,8298,165.96,136.9748425959534,194.94515740404663
14,5/20/20,2899.2266298981,11280.4090998344,6378.3,708.7,18367.4090998344,8412,9310.269106217023,13250.549093451777,6942.831862600385,9881.168137399614,5264.32055031194,7492.279449688061,584.9245055902155,832.4754944097846,15159.514162119178,21575.304037549624,15499.992618339,7087,8412,168.24,138.85663725200772,197.6233627479923
