,index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max,R_big,F,H,icu_mean,icu_min,icu_max
0,5/6/20,809.7005282341,1447.5400231872,391.5,43.5,1882.5400231872,640,1289.7939682368528,1605.286078137547,570.2558315825122,709.7441684174878,348.8361844758649,434.1638155241351,38.759576052873875,48.240423947126125,1677.3897287655916,2087.6903176088085,1075.6423885091,435,640,12.8,11.405116631650245,14.194883368349757
1,5/7/20,717.0218421367999,1557.4759555001,430.2,47.800000000000004,2035.4759555001,1116,1387.7496033960583,1727.2023076041419,994.3836063220057,1237.6163936779942,383.31884179186994,477.08115820813003,42.590982421318884,53.009017578681124,1813.6594276092474,2257.292483390953,1594.6880105911,478,1116,22.32,19.887672126440116,24.752327873559885
2,5/8/20,618.4398847069999,1616.3720180533,497.7,55.300000000000004,2169.3720180533,1342,1440.2274520338876,1792.5165840727125,1195.7551968495804,1488.2448031504196,443.463011529088,551.936988470912,49.27366794767645,61.32633205232356,1932.9641315106521,2405.779904595948,1895.2987120254,553,1342,26.84,23.915103936991606,29.764896063008393
3,5/9/20,527.0270298576,1639.0694513321,579.6,64.4,2283.0694513321,1448,1460.451426548248,1817.687476115952,1290.203818955434,1605.796181044566,516.4379374769127,642.7620625230874,57.381993052990296,71.41800694700972,2034.271357078151,2531.867545586049,2092.9806321446,644,1448,28.96,25.80407637910868,32.11592362089132
4,5/10/20,446.54758131910006,1638.6092804564,667.8000000000001,74.2,2380.6092804564,1494,1460.0414029148226,1817.1771579979775,1331.190956850427,1656.809043149573,595.0263192668776,740.5736807331225,66.11403547409752,82.28596452590249,2121.181757655798,2640.0368032570022,2236.6065255099,742,1494,29.88,26.62381913700854,33.13618086299146
5,5/11/20,377.30084686339995,1620.2622417922,758.7,84.30000000000001,2463.2622417922003,1505,1443.6937376171195,1796.8307459672806,1340.9922289557514,1669.0077710442486,676.0204678463314,841.3795321536687,75.11338531625904,93.48661468374098,2194.82759077971,2731.6968928046904,2348.1604670036,843,1505,30.1,26.81984457911503,33.380155420884975
6,5/12/20,318.38485043220004,1587.3674398353,850.5,94.5,2532.3674398353,1493,1414.3836553598164,1760.3512243107837,1330.2999321135794,1655.7000678864206,757.8165386889478,943.1834613110522,84.20183763210532,104.79816236789468,2256.4020316808696,2808.3328479897305,2438.4623890640996,945,1493,29.86,26.605998642271587,33.11400135772841
7,5/13/20,268.492853894,1544.4031568439,941.4,104.60000000000001,2590.4031568439,1466,1376.1014164135552,1712.7048972742448,1306.242264218692,1625.757735781308,838.8106872684016,1043.9893127315984,93.20118747426685,115.99881252573317,2308.1132911562236,2872.6930225315764,2512.9754585957,1046,1466,29.32,26.12484528437384,32.51515471562616
8,5/14/20,226.3463795272,1495.6315256951,1030.5,114.5,2640.6315256951,1430,1332.6446866035637,1658.6183647866362,1274.1653736921758,1585.8346263078242,918.2009913215295,1142.7990086784705,102.02233236905883,126.97766763094117,2352.868010294152,2928.3950410960483,2575.1125250123005,1145,1430,28.6,25.483307473843517,31.716692526156486
9,5/15/20,190.7889963325,1440.1172180745,1117.8,124.2,2682.1172180744998,1385,1283.1800652646377,1597.0543708843622,1234.0692605340303,1535.9307394659697,995.9874508483315,1239.6125491516684,110.66527231648128,137.7347276835187,2389.8327884294504,2974.401647719549,2627.2403130097996,1242,1385,27.7,24.681385210680606,30.718614789319393
