index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/6/20,18.7724547378,104.2622030118,49.8086219939,1.3295936056,155.4004186113,27.1081727831,102.8382464402,105.6861595834,26.7379440744,27.4784014917,49.1283628726,50.4888811153,1.3114347379,1.3477524733,153.2780440507,157.5227931719
5/7/20,21.3383263489,96.2147267633,61.5675412202,1.6434867266,159.4257547101,25.0158289584,94.9006782538,97.5287752727,24.674176346,25.3574815709,60.7266851632,62.4083972772,1.621040877,1.6659325762,157.2484042941,161.6031051261
5/8/20,23.0110981423,89.4611293302,72.4667189351,1.9344298689000001,163.8622781342,23.2598936259,88.2393177884,90.682940872,22.942222625,23.5775646267,71.4770078253,73.4564300448,1.9080104758,1.960849262,161.6243360896,166.1002201788
5/9/20,23.99398224,83.742123909,82.6264455551,2.2056340703,168.5742035344,21.7729522163,82.5984194388,84.8858283792,21.4755890541,22.0703153786,81.4979784143,83.754912696,2.1755107174,2.2357574231,166.2719085704,170.8764984983
5/10/20,24.4687394508,78.8253097971,92.1553527498,2.4599991494,173.4406616963,20.4945805473,77.7487565051,79.9018630892,20.2146766913,20.7744844032,90.8967449671,93.4139605325,2.4264018164,2.4935964824,171.0719032885,175.8094201042
5/11/20,24.598953152500002,74.5011050453,101.1521155713,2.7001591426,178.3533797592,19.3702873118,73.4836093944,75.5186006962,19.1057384425,19.634836181,99.7706348857,102.5335962569,2.6632818347000002,2.7370364503999998,175.9175261148,180.7892334035
5/12/20,24.4705715216,70.6565440751,109.6746912258,2.9276611621,183.258896463,18.3707014595,69.6915553509,71.6215327992,18.1198043912,18.6215985278,108.1768138283,111.1725686233,2.8876767552000002,2.967645569,180.7560459344,185.7617469916
5/13/20,24.1415207612,67.2136865145,117.7660137866,3.143651292,188.1233515931,17.4755584938,66.29571847,68.131654559,17.2368868022,17.7142301853,116.1576294978,119.3743980754,3.1007170092,3.1865855749,185.554064977,190.6926382093
5/14/20,23.6699973062,64.0944782335,125.4686815829,3.3492666542,192.9124264706,16.6645643407,63.2191106425,64.9698458245,16.436968767,16.8921599144,123.7550984386,127.1822647272,3.3035241883,3.39500912,190.2777332694,195.5471196718
5/15/20,23.1118707493,61.2239722351,132.823619012,3.5455996862,197.5931909333,15.9182327811,60.3878084569,62.0601360134,15.7008301988,16.1356353635,131.0095861248,134.6376518992,3.4971758103,3.5940235620000003,194.894570392,200.2918114746
