index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/6/20,1853.2209161502,3912.1335864614,1494.7727323165,39.9015308421,5446.80784962,1017.15473248,3819.1954538252,4005.0717190976,992.9908179945,1041.3186469654,1459.2623430655,1530.2831215675,38.9536149073,40.849446777,5317.411411798,5576.204287442
5/7/20,2016.8918425236,3417.1131996637,2355.0330030747,62.8653573716,5835.01156011,888.4494319126,3335.9349595131,3498.2914398144,867.3430894734,909.5557743517,2299.0859438127,2410.9800623366,61.3719040443,64.3588106989,5696.3928073701,5973.63031285
5/8/20,2091.5768044625,3050.1491005521,3113.8227017677,83.1205238665,6247.0923261863,793.0387661435,2977.6885990374,3122.6096020667,774.1990357497,811.8784965374,3039.8495459777,3187.7958575577,81.1458811041,85.0951666289,6098.6840261193,6395.5006262533
5/9/20,2107.9830256952,2770.8528751553,3796.2871220635,101.3382599319,6668.4782571507,720.4217475404,2705.0274409427,2836.678309368,703.3071346451,737.5363604357,3706.1010820733,3886.4731620536,98.9308297063,103.7456901575,6510.0593527223,6826.8971615791
5/10/20,2089.2685795724,2548.6504500169,4421.6865432407,118.0327003329,7088.3696935906,662.6491170044,2488.1037410838,2609.1971589501,646.9069726818,678.391261327,4316.6432768621,4526.7298096193,115.2286706349,120.8367300309,6919.9756885808,7256.7636986003
5/11/20,2046.0166132464,2369.3008349491,4999.5214382464,133.4574511236,7502.2797243191,616.0182170868,2313.0148236493,2425.5868462488,601.3838541488,630.6525800247,4880.7509064442,5118.2919700486,130.2869851823,136.627917065,7324.0527152758,7680.5067333623
5/12/20,1987.816983155,2219.8735182748,5538.4678732338,147.8441116058,7906.1855031144,577.1671147514,2167.1373591132,2272.6096774363,563.4557133694,590.8785161334,5406.8939250472,5670.0418214204,144.3318706891,151.3563525225,7718.3631548495,8094.0078513792
5/13/20,1922.2460234474,2090.0709411392,6045.5927662109,161.3813264081,8297.0450337582,543.4184446962,2040.4184213431,2139.7234609352,530.5087895492,556.3280998432,5901.9713662886,6189.2141661332,157.5474902705,165.2151625457,8099.9372779022,8494.1527896141
5/14/20,1851.740379592,1976.2835519752,6523.9430961117,174.1504317237,8674.3770798107,513.8337235136,1929.3342086512,2023.2328952993,501.6268942493,526.0405527778,6368.9578239125,6678.928368311,170.0132478662,178.2876155812,8468.3052804299,8880.4488791914
5/15/20,1778.6265680162,1875.0641774085,6976.429835182,186.2291331773,9037.7231457678,487.5166861262,1830.5194400241,1919.6089147928,475.9350544063,499.0983178461,6810.6951160013,7142.1645543626,181.8050030965,190.6532632581,8823.019559122,9252.4267324136
5/16/20,1705.8189449357,1782.2217448879,7406.3686230327,197.7059386025,9386.2963065231,463.3776536708,1739.8826076235,1824.5608821522,452.3694779821,474.3858293596,7230.4201145712,7582.3171314942,193.0091611693,202.4027160358,9163.311883364,9609.2807296822
