index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/6/20,185.7302617996,421.4120806794,645.178702897,17.2224294408,1083.8132130171,109.5671409766,419.2157936149,423.6083677439,108.9961063399,110.1381756134,641.8162040402,648.5412017537,17.1326707444,17.3121881372,1078.1646683995,1089.4617576348
5/7/20,177.5203404236,377.1188302088,723.7227208298,19.3190870037,1120.1606380423,98.0508958543,375.1533877202,379.0842726974,97.5398808072,98.5619109013,719.950871557,727.4945701026,19.2184010888,19.4197729186,1114.3226603659,1125.9986157186
5/8/20,168.283134427,339.1726477178,794.3080864309,21.2032959417,1154.6840300904,88.1848884066,337.4049705842,340.9403248514,87.7252923519,88.6444844614,790.1683651095,798.4478077523,21.0927900337,21.3138018497,1148.6661257274,1160.7019344533
5/9/20,158.4305774877,306.5122042585,857.9063769784,22.9009915826,1187.3195728195,79.6931731072,304.9147446217,308.1096638953,79.2778336017,80.1085126128,853.4351983751,862.3775555818,22.781637739,23.0203454262,1181.1315807358,1193.5075649033
5/10/20,148.2857806174,278.254044197,915.3559311681,24.4345525774,1218.0445279425,72.3460514912,276.8038585333,279.7042298608,71.9690032187,72.7230997638,910.5853408523,920.1265214839,24.307206224,24.561898930799998,1211.6964056095,1224.3926502755
5/11/20,138.2456219298,253.4135518304,967.5360518781,25.8274510768,1246.7770547854,65.8875234759,252.0928281697,254.7342754911,65.5441353241,66.2309116277,962.4935127279,972.5785910284,25.692845309,25.9620568447,1240.2791862065,1253.2749233642
5/12/20,128.6550185938,231.1186614661,1015.2353857148,27.1007392491,1273.4547864299,60.0908519812,229.9141328115,232.3231901206,59.777674531,60.4040294314,1009.944250393,1020.5265210365,26.9594974438,27.2419810544,1266.8178806483,1280.0916922115
5/13/20,119.4753248742,211.1749547172,1058.802621078,28.263724998,1298.2413007932,54.9054882265,210.0743673286,212.2755421057,54.6193355054,55.1916409475,1053.2844249769,1064.3208171791,28.116422022,28.411027974,1291.4752143274,1305.0073872589
5/14/20,110.7218234315,193.3170795512,1098.6118817296,29.3263952002,1321.255356481,50.2624406833,192.3095626322,194.3245964703,50.0004862844,50.5243950823,1092.8862104084,1104.3375530509,29.1735538713,29.4792365291,1314.3693269118,1328.1413860503
5/15/20,102.4412372325,177.2430189963,1135.0451019138,30.2989452256,1342.5870661358,46.0831849391,176.3192757822,178.1667622105,45.8430117034,46.3233581747,1129.1295503924,1140.9606534352,30.1410352261,30.4568552252,1335.5898614007,1349.5842708709
5/16/20,94.7029492235,162.6288716642,1168.4830501313,31.1915393259,1362.3034611214,42.283506632699996,161.7812934776,163.4764498508,42.0631363042,42.5038769612,1162.3932289663,1174.5728712964,31.0289773646,31.3541012872,1355.2034998085,1369.4034224344
5/17/20,87.5100341814,149.2798579697,1199.2125236787,32.011833281,1380.5042149294,38.8127630721,148.5018512725,150.057864667,38.6104813309,39.0150448134,1192.9625487156,1205.4624986418,31.8449961669,32.178670395,1373.3093961551,1387.6990337037
5/18/20,80.8065977055,137.1204208154,1227.4301804576,32.7650766857,1397.3156779587,35.651309412,136.4057858528,137.835055778,35.4655043217,35.8371145023,1221.0331426138,1233.8272183014,32.5943138685,32.9358395029,1390.0332423351,1404.5981135823
5/19/20,74.557746309,126.05150876,1253.336406289,33.4566186484,1412.8445336974,32.7733922776,125.3945620069,126.7084555132,32.6025861218,32.9441984334,1246.8043521243,1259.8684604537,33.2822516994,33.6309855973,1405.4811658306,1420.2079015642
5/20/20,68.74485692,115.9570112464,1277.1327648465,34.0918397187,1427.1816158117,30.1488229241,115.3526743147,116.5613481782,29.9916953218,30.3059505263,1270.476690425,1283.788839268,33.9141621674,34.26951727,1419.7435269071,1434.6197047162
5/21/20,63.3655768815,106.703758601,1299.0219976564,34.6761518882,1440.4019081456,27.7429772363,106.1476471474,107.2598700546,27.598388258299998,27.8875662142,1292.2518424074,1305.7921529054,34.4954290581,34.8568747182,1432.8949186129,1447.9088976782
5/22/20,58.4193771974,98.1657138386,1319.1934462089,35.2146094471,1452.5737694946,25.523085598,97.6541003909,98.6773272863,25.3900661016,25.6561050944,1312.3181627646,1326.0687296532,35.0310803202,35.3981385739,1445.0033434758,1460.1441955134
5/23/20,53.8560350173,90.3138941497,1337.7656024725,35.7103754253,1463.7898720475,23.4816124789,89.8432022864,90.784586013,23.3592325945,23.6039923634,1330.7935259166,1344.7376790284,35.5242624988,35.8964883519,1456.1609907017,1471.4187533933
5/24/20,49.6381022413,83.1094747749,1354.8525700501,36.1664957098,1474.1285405348,21.6084634415,82.6763304187,83.5426191311,21.4958459089,21.7210809741,1347.7914407888,1361.9136993114,35.9780056063,36.3549858132,1466.4457768138,1481.8113042558
5/25/20,45.7364781265,76.5056724009,1370.5678702724,36.5860006438,1483.6595433172,19.8914748242,76.1069452966,76.9043995053,19.7878057771,19.9951438714,1363.4248370692,1377.7109034757,36.3953241928,36.7766770948,1475.9271065586,1491.3919800758
5/26/20,42.1284733106,70.450820224,1385.0227382132,36.9718595416,1492.4454179788,18.3172132582,70.0836493899,70.817991058,18.2217488414,18.4126776751,1377.804370104,1392.2411063225,36.779172097200004,37.164546986,1484.6671915912,1500.2236443665
5/27/20,38.7978098122,64.8883679499,1398.3261226898,37.3269806878,1500.5414713275,16.870975667,64.5501871295,65.2265487702,16.7830486537,16.9589026803,1391.0384208985,1405.6138244812,37.132442447,37.5215189287,1492.7210504749,1508.3618921801
5/28/20,35.734621031,59.7568817939,1410.5846862627,37.6542113376,1507.9957793942,15.5367892664,59.445444907,60.0683186808,15.4558156758,15.617762857,1403.2330961164,1417.9362764091,37.4579676581,37.8504550171,1500.1365086815,1515.8550501069
5/29/20,32.9224842038,55.011613069,1421.8899388022,37.9559942596,1514.8575461308,14.3030193979,54.7249072536,55.2983188843,14.2284758859,14.3775629099,1414.4794287031,1429.3004489014,37.7581777683,38.153810751,1506.962513725,1522.7525785367
5/30/20,30.3320097178,50.6398816445,1432.304814939,38.2340094337,1521.1787060172,13.1663692276,50.3759601242,50.9038031648,13.0977496323,13.2349888228,1424.8400252907,1439.7696045873,38.0347440016,38.4332748658,1513.2507294165,1529.1066826179
5/31/20,27.9434373323,46.6193158843,1441.892341928,38.4899393122,1527.0015971245,12.1210221299,46.3763484775,46.8622832911,12.0578506042,12.1841936557,1434.377584653,1449.4070992029,38.2893400421,38.6905385824,1519.0432731726,1534.9599210764
6/1/20,25.7394226192,42.9262983257,1450.7137966643,38.7254196235,1532.3655146135,11.1608375647,42.7025779388,43.1500187126,11.1026702641,11.2190048653,1443.1530643265,1458.2745290022,38.5235930929,38.9272461541,1524.3792353582,1540.3517938689
6/2/20,23.7050106724,39.5360056148,1458.8286852712,38.9420388265,1537.3067297126,10.2793614599,39.3299545268,39.7420567028,10.225788177,10.332934742700001,1451.2256603042,1466.4317102383,38.7390833346,39.1449943185,1529.2946981656,1545.3187612596
6/3/20,21.8276361086,36.4224085066,1466.2947430997,39.1413381115,1541.8584897178,9.4698262117,36.232584654,36.6122323591,9.42047201,9.5191804134,1458.6528070359,1473.9366791635,38.937343925,39.345332298,1533.8227356149,1549.8942438206
6/4/20,20.0971230667,33.5582718646,1473.1679347287,39.3248113993,1546.0510179927,8.7251506848,33.3833751263,33.733168603,8.6796775328,8.7706238368,1465.4901774283,1480.8456920292,39.1198609991,39.5297617995,1537.9934135537,1554.1086224317
6/5/20,18.5056852081,30.9151546616,1479.5024539651,39.493905342,1549.9115139687,8.037940212,30.7540331433,31.0762761799,7.9960486172,8.0798318068,1471.7916828445,1487.2132250857,39.2880736694,39.6997370146,1541.8337896571,1557.9892382803
6/6/20,17.0462843834,28.4661516553,1485.3490778098,39.649975383,1553.4652048482,7.4011994304,28.3177936857,28.6145096249,7.3626263583,7.4397725025,1477.6078356493,1493.0903199704,39.4433303151,39.856620451,1545.3689596501,1561.5614500463
6/7/20,15.7043096332,26.2027815353,1490.7423506575,39.793943652,1556.7390758449,6.8127231992,26.0662196455,26.3393434252,6.7772171078,6.8482292905,1482.9730002012,1498.5117011137,39.58654826,40.0013390441,1548.6257681067,1564.852383583
6/8/20,14.4682803838,24.1172919669,1495.7110435434,39.9265781644,1559.7549136747,6.2704959114,23.991599091,24.2429848428,6.2378157636000005,6.3031760591,1487.9157975887,1503.5062894982,39.7184915167,40.1346648121,1551.6258881963,1567.8839391531
6/9/20,13.3285717778,22.2001422741,1500.2838266953,40.0486442444,1562.5326132139,5.7720369913,22.0844410697,22.3158434786,5.7419546781,5.8021193044,1492.4647486177,1508.102904773,39.839921421,40.2573670679,1554.3891111083,1570.6761153194
6/10/20,12.2767044822,20.4409276746,1504.4889493401,40.1608959783,1565.0907729929,5.3146411954,20.3343950261,20.547460323,5.2869427068,5.342339684,1496.6479552878,1512.3299433924,39.9515881288,40.3702038277,1556.9339384428,1573.2476075431
6/11/20,11.3053446886,18.8283792793,1508.3542397039,40.2640762139,1567.4466951971,4.8953786126,18.7302508019,18.9265077568,4.8698652085,4.9208920168,1500.4931007919,1516.2153786158,40.0542306166,40.4739218111,1559.2775822104,1575.6158081837
6/12/20,10.4083041128,17.3503640931,1511.9071050121,40.3589165609,1569.6163856661,4.5110946642,17.2599386355,17.4407895507,4.4875840452,4.5346052832,1504.0274495163,1519.7867605078,40.1485766811,40.5692564407,1561.435964833,1577.7968064992
6/13/20,9.5805399952,15.993885014,1515.1745314894,40.4461373909,1571.6145538943,4.1584101037,15.9105291627,16.0772408654,4.1367375823,4.180082625,1507.2778470406,1523.0712159382,40.2353429395,40.6569318423,1563.4237191428,1579.8053886459
6/14/20,8.8181551003,14.7450808338,1518.1830843598,40.5264478371,1573.4546130308,3.8337210168,14.6682334158,14.8219282518,3.8137406881,3.8537013455,1510.2707201381,1526.0954485816,40.3152348291,40.7376608451,1565.2541883831,1581.6550376784
6/15/20,8.1183977175,13.5892262376,1520.9589078466,40.6005457947,1575.1486798789,3.5331988218,13.5184028247,13.6600496505,3.5147847344,3.5516129091,1513.0320767752,1528.885738918,40.388946608,40.8121449814,1566.9394262079,1583.3579335499
6/16/20,7.4788395019,12.5126471226,1523.5260898886,40.6690742681,1576.7078112793,3.2532882519,12.4474345521,12.5778596931,3.2363329835,3.2702435202,1515.5858793509,1531.4663004262,40.4571179293,40.8810306069,1568.4904318323,1584.9251907262
6/17/20,6.8905182519,11.5188422521,1525.8928032716,40.732251422,1578.1438969457,2.9948989855,11.4588091268,11.5788753774,2.979290373,3.0105075981,1517.9402580567,1533.8453484864,40.5199658208,40.9445370233,1569.9190330044,1586.3687608871
6/18/20,6.3479723916,10.6048581163,1528.0716362313,40.7904132875,1579.4669076351,2.7572631103000003,10.5495884319,10.6601278007,2.7428929923,2.7716332282,1520.1077355217,1536.0355369408,40.5778245622,41.0030020128,1571.2351485159,1587.6986667544
6/19/20,5.8475413756,9.7646392586,1530.0771230735,40.8439478439,1580.6857101759,2.5388062072,9.7137485702,9.815529947,2.5255746283000002,2.5520377862,1522.1027703028,1538.0514758441,40.6310801108,41.0568155769,1572.4475989838,1588.9238213681
6/20/20,5.3859965724,8.9921715845,1531.9230901169,40.8932241715,1581.8084858729,2.337964612,8.945306791,9.0390363779,2.3257797657,2.3501494582999998,1523.9391166597,1539.9070635741,40.6800996234,41.1063487196,1573.5645230741,1590.0524486717
6/21/20,4.9605412639,8.2814823617,1533.6226556933,40.9385924518,1582.8427305067,2.153185414,8.2383214903,8.324643233,2.1419635875,2.1644072406,1525.6298245548,1541.6154868317,40.7252314563,41.1519534473,1574.5933775015,1591.092083512
