index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/6/20,3968.9452005445,4955.0760881224,3424.8997840317,91.4244295532,8471.4003017073,1288.3197829118,4872.7246625199,5037.427513725,1266.9084122552,1309.7311535685,3367.9792898263,3481.820278237,89.9049913095,92.9438677969,8330.6089436557,8612.1916597589
5/7/20,3994.3050380819,4635.8805764053,4511.9807357772,120.4430175875,9268.3043297699,1205.3289498654,4558.8340553023,4712.9270975082,1185.2968543786,1225.3610453521,4436.9933815419,4586.9680900124,118.441301766,122.444733409,9114.2687386102,9422.3399209296
5/8/20,3972.2513113802,4381.2756489896,5535.4198377104,147.7627472079,10064.4582339079,1139.1316687373,4308.4605621503,4454.090735829,1120.1997461591,1158.0635913155,5443.4233260853,5627.4163493355,145.3069881707,150.2185062451,9897.1908764062,10231.7255914096
5/9/20,3915.569557643,4175.9221862621,6504.6787498266,173.6361883937,10854.2371244824,1085.7397684281,4106.519993616,4245.3243789083,1067.6951983402,1103.7843385161,6396.573534365,6612.7839652882,170.7504228886,176.5219538989,10673.8439508696,11034.6302980953
5/10/20,3838.5765920673,4002.6809106376,7430.2103968259,198.3423719892,11631.2336794528,1040.6970367658,3936.1579202009,4069.2039010743,1023.4010592522,1057.9930142793,7306.7232075631,7553.6975860888,195.0459993805,201.6387445979,11437.9271271446,11824.540231761
5/11/20,3753.1014146783,3847.3540637212,8320.7860865834,222.1154396829,12390.2555899876,1000.3120565675,3783.412544699,3911.2955827435,983.6872616217,1016.9368515133,8182.49787785,8459.0742953169,218.4239679919,225.806911374,12184.3343905409,12596.1767894343
5/12/20,3660.1985817811,3708.4624331453,9177.9837381934,244.9975125185,13131.4436838572,964.2002326178,3646.8292386732,3770.0956276174,948.175602055,980.2248631805,9025.4492399221,9330.5182364646,240.925749731,249.069275306,12913.2042283263,13349.683139388
5/13/20,3562.5445707987,3582.620028346,10004.4342977222,267.0588210891,13854.1131471573,931.48120737,3523.078285398,3642.161771294,916.0003542035,946.9620605364,9838.1645145519,10170.7040808926,262.620407986,271.4972341922,13623.8632079358,14084.3630863788
5/14/20,3463.8289792415,3465.2519180726,10803.4178493301,288.3869241094,14557.0566915122,900.9654986989,3407.6607871898,3522.8430489555,885.9918046694,915.9391927284,10623.8692721841,10982.9664264762,283.5940462801,293.1798019388,14315.1241056539,14798.9892773704
5/15/20,3366.3202540375,3353.4662619484,11577.2448840041,309.0434979303,15239.7546438829,871.9012281066,3297.7329649273,3409.1995589696,857.4105708811,886.3918853321,11384.8356043498,11769.6541636585,303.9073159272,314.1796799334,14986.4758852043,15493.0334025614
