index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/6/20,809.7005282341,807.5400231872,1047.6756864079,27.9667021012,1883.1824116964,209.9604060287,729.5935050633,885.4865413111,189.6943113165,230.2265007409,946.5504547986,1148.8009180172,25.2672606004,30.6661436021,1701.4112204623,2064.9536029304
5/7/20,717.0218421368,441.4759555001,1553.2261223157,41.4618882754,2036.1639660911,114.78374843,398.8631900909,484.0887209094,103.7044294236,125.8630674364,1403.3034378451,1703.1488067862,37.4598453634,45.4639311873,1839.6264732994,2232.7014588829
5/8/20,618.439884707,274.3720180533,1846.0209455127,49.2777665127,2169.6707300787,71.3367246938,247.8886947952,300.8553413113,64.4510606468,78.2223887409,1667.8367057786,2024.2051852469,44.5213083678,54.0342246575,1960.2467089416,2379.0947512157
5/9/20,527.0270298576,191.0694513321,2038.5631357088,54.4174964358,2284.0500834766,49.6780573463,172.6267760175,209.5121266467,44.8829617645,54.4731529281,1841.7940668803,2235.3322045373,49.1649340235,59.670058848,2063.5857769213,2504.5143900319
5/10/20,446.5475813191,144.6092804564,2178.4547558466,58.1517696633,2381.2158059663,37.5984129187,130.651099343,158.5674615698,33.9692858292,41.2275400082,1968.1828705739,2388.7266411193,52.5387624589,63.7647768677,2151.3727323758,2611.0588795568
5/11/20,377.3008468634,115.2622417922,2287.1082948615,61.0521721421,2463.4227087957,29.968182866,104.136736974,126.3877466104,27.0755516132,32.8608141187,2066.3487993096,2507.8677904134,55.1592081951,66.9451360891,2225.6447444787,2701.2006731128
5/12/20,318.3848504322,94.3674398353,2375.0623669484,63.4000221157,2532.8298288993,24.5355343572,85.2587725888,103.4761070818,22.1672808731,26.9037878413,2145.8132442856,2604.3114896112,57.2804356791,69.5196085522,2288.3524525534,2777.3072052452
5/13/20,268.492853894,78.4031568439,2447.6380966722,65.3373619235,2591.3786154396,20.384820779400002,70.8354166571,85.9708970307,18.4172083309,22.352433228,2211.3837169697,2683.8924763747,59.030776839,71.6439470079,2341.2499104659,2841.5073204133
5/14/20,226.3463795272,65.6315256951,2508.159599362,66.9529256503,2640.7440507074,17.0641966807,59.2965469198,71.9665044704,15.4171021991,18.7112911623,2266.0634777385,2750.2557209854,60.4904008431,73.4154504575,2385.8504255015,2895.6376759133
5/15/20,190.7889963325,55.1172180745,2558.9320648715,68.3082481383,2682.3575310842,14.3304766994,49.7971161424,60.4373200065,12.947250197,15.7137032017,2311.9352116565,2805.9289180864,61.7149029806,74.9015932959,2423.4472307795,2941.2678313889
5/16/20,160.8063637718,46.3653896306,2601.6186658622,69.4477261934,2717.4317816862,12.055001304,41.8900440386,50.8407352227,10.89141145,13.2185911579,2350.5015562856,2852.7357754387,62.7443947263,76.1510576606,2455.1359950505,2979.7275683219
5/17/20,135.527071826,39.0696343273,2637.5173949953,70.4060084906,2746.9930378132,10.1581049251,35.2984999281,42.8407687265,9.1776099813,11.1385998689,2382.935217607,2892.0995723835,63.6101803468,77.2018366345,2481.8438978819,3012.1421777445
5/18/20,114.223147904,32.8859862661,2667.8095637824,71.2146290127,2771.9101790613,8.5503564292,29.7117186745,36.0602538577,7.7250468554000005,9.375666003,2410.303482915,2925.3156446499,64.3407500573,78.0885079681,2504.3559516469,3039.4644064756
5/19/20,96.266126713,27.7184964596,2693.2935005702,71.8948983725,2792.9068954024,7.2068090795,25.0430126141,30.3939803052,6.5111832797,7.9024348793,2433.3276231805,2953.25937796,64.9553574976,78.8344392474,2523.3259932922,3062.4877975125
5/20/20,81.1315534147,23.3778024784,2714.7558551544,72.4678154353,2810.6014730681,6.0782286444,21.1212972251,25.6343077317,5.4915372785,6.6649200102,2452.718358077,2976.7933522318,65.4729746509,79.4626562197,2539.312629953,3081.8903161832
5/21/20,68.3763062739,19.6727384231,2732.8956329143,72.9520394823,2825.5204108197,5.11491199,17.7738585929,21.5716182532,4.6212032342,5.6086207458,2469.1072226,2996.6840432286,65.9104597409,79.9936192238,2552.7915409339,3098.2492807056
5/22/20,57.6259064352,16.5712268447,2748.1608719666,73.3595304632,2838.0916292745,4.3085189796,14.9717154936,18.1707381959,3.8926460283,4.7243919308999995,2482.8990086985,3013.4227352347,66.278618302,80.4404426243,2564.1493424942,3112.0339160549
5/23/20,48.5660789469,13.9971557661,2760.9817911708,73.7017726596,2848.6807195965,3.6392604992,12.646102537400001,15.3482089948,3.2879866597,3.9905343386,2494.48240904,3027.4811733016,66.587826114,80.8157192052,2573.7163376914,3123.6451015016
5/24/20,40.9320045976,11.8068900667,2771.8085201516,73.9907818521,2857.6061920705,3.0697914174,10.6672487559,12.9465313776,2.7734846765,3.3660981582,2504.264105202,3039.3529351013,66.8489391532,81.132624551,2581.7802931112,3133.4320910298
5/25/20,34.4989306724,9.9264785195,2780.9702400967,74.2353452182,2865.1320638343,2.5808844151,8.9683409466,10.8846160923,2.3317686461,2.830000184,2512.5415046809,3049.3989755124,67.0698964289,81.4007940075,2588.5797420563,3141.6843856123
5/26/20,29.0750325404,8.3686696084,2788.6642985847,74.440730763,2871.4736989562,2.1758540982,7.5608970664,9.1764421504,1.9658332373,2.3858749591,2519.4929063939,3057.8356907756,67.2554574602,81.6260040659,2594.3092609205,3148.6381369919
5/27/20,24.5025921383,7.0722523648,2795.1319622945,74.6133788703,2876.8175935296,1.8387856149,6.3896144382,7.7548902915,1.6612997539,2.0162714758,2525.3362891366,3064.9276354524,67.4114409831,81.8153167575,2599.1373445579,3154.4978425013
5/28/20,20.6517616095,5.9477441276,2800.6149403303,74.7597417337,2881.3224261916,1.5464134731999999,5.3736475725,6.5218406828,1.3971483688,1.6956785775,2530.2900314261,3070.9398492344,67.5436764036,81.9758070638,2603.2073554022,3159.437496981
5/29/20,17.4055576315,5.0062051468,2805.2299632436,74.8829353638,2885.1191037541,1.3016133382000001,4.5229891463000005,5.4894211472,1.1759771780000001,1.4272494983000001,2534.4595965827,3076.0003299044,67.6549789642,82.1108917634,2606.6375646933,3163.600642815
5/30/20,14.6682303332,4.2304768268,2809.1014596986,74.9862812651,2888.3182177905,1.099923975,3.8221367704,4.6388168833,0.9937555603,1.2060923897,2537.9574029915,3080.2455164057,67.7483495665,82.2242129636,2609.5278893284,3167.1085462526
5/31/20,12.3623919494,3.5651041207,2812.375826621,75.0736873636,2891.0146181053,0.9269270714000001,3.2209881079000002,3.9092201335,0.8374569081000001,1.0163972347,2540.9157168474,3083.8359363946,67.8273189302,82.320055797,2611.9640238855,3170.0652123251
