index,confirmed,hospitalized,recovered,deceased
region_name,ahmedabad,ahmedabad,ahmedabad,ahmedabad
region_type,district,district,district,district
1/22/20,0.0,0.0,0.0,0.0
1/23/20,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0,0.0
3/2/20,0.0,0.0,0.0,0.0
3/3/20,0.0,0.0,0.0,0.0
3/4/20,0.0,0.0,0.0,0.0
3/5/20,0.0,0.0,0.0,0.0
3/6/20,0.0,0.0,0.0,0.0
3/7/20,0.0,0.0,0.0,0.0
3/8/20,0.0,0.0,0.0,0.0
3/9/20,0.0,0.0,0.0,0.0
3/10/20,0.0,0.0,0.0,0.0
3/11/20,0.0,0.0,0.0,0.0
3/12/20,0.0,0.0,0.0,0.0
3/13/20,0.0,0.0,0.0,0.0
3/14/20,0.0,0.0,0.0,0.0
3/15/20,0.0,0.0,0.0,0.0
3/16/20,0.0,0.0,0.0,0.0
3/17/20,0.0,0.0,0.0,0.0
3/18/20,0.0,0.0,0.0,0.0
3/19/20,0.0,0.0,0.0,0.0
3/20/20,3.0,2.0,1.0,0.0
3/21/20,5.0,4.0,1.0,0.0
3/22/20,8.0,7.0,1.0,0.0
3/23/20,14.0,12.0,1.0,0.0
3/24/20,14.0,12.0,1.0,0.0
3/25/20,14.0,12.0,1.0,1.0
3/26/20,14.0,12.0,1.0,1.0
3/27/20,14.0,12.0,1.0,1.0
3/28/20,17.0,15.0,1.0,1.0
3/29/20,21.0,19.0,1.0,1.0
3/30/20,22.0,20.0,1.0,1.0
3/31/20,23.0,21.0,1.0,1.0
4/1/20,31.0,29.0,1.0,1.0
4/2/20,31.0,29.0,1.0,1.0
4/3/20,38.0,36.0,1.0,1.0
4/4/20,45.0,43.0,1.0,1.0
4/5/20,53.0,51.0,1.0,1.0
4/6/20,64.0,62.0,1.0,1.0
4/7/20,83.0,81.0,1.0,1.0
4/8/20,83.0,81.0,1.0,1.0
4/9/20,142.0,140.0,1.0,1.0
4/10/20,197.0,195.0,1.0,1.0
4/11/20,243.0,241.0,1.0,1.0
4/12/20,282.0,280.0,1.0,1.0
4/13/20,320.0,318.0,1.0,1.0
4/14/20,373.0,371.0,1.0,1.0
4/15/20,450.0,448.0,1.0,1.0
4/16/20,545.0,543.0,1.0,1.0
4/17/20,623.0,621.0,1.0,1.0
4/18/20,862.0,860.0,1.0,1.0
4/19/20,1101.0,1099.0,1.0,1.0
4/20/20,1248.0,1246.0,1.0,1.0
4/21/20,1373.0,1371.0,1.0,1.0
4/22/20,1501.0,1499.0,1.0,1.0
4/23/20,1652.0,1650.0,1.0,1.0
4/24/20,1821.0,1819.0,1.0,1.0
4/25/20,2003.0,2001.0,1.0,1.0
4/26/20,2181.0,2179.0,1.0,1.0
4/27/20,2379.0,2377.0,73.0,6.0
4/28/20,2543.0,2541.0,102.0,25.0
4/29/20,2777.0,2775.0,124.0,34.0
4/30/20,3026.0,3024.0,177.0,46.0
5/1/20,3293.0,3291.0,260.0,62.0
5/2/20,3543.0,3541.0,323.0,82.0
5/3/20,3817.0,3815.0,394.0,105.0
5/4/20,4076.0,4074.0,481.0,131.0
5/5/20,4425.0,4423.0,565.0,170.0
5/6/20,4716.0,4714.0,639.0,195.0
5/7/20,4991.0,4989.0,747.0,218.0
5/8/20,5260.0,5258.0,862.0,240.0
5/9/20,5540.0,5538.0,968.0,260.0
5/10/20,5818.0,5816.0,1234.0,278.0
5/11/20,6086.0,6084.0,1343.0,297.0
5/12/20,6353.0,6351.0,1735.0,318.0
5/13/20,6353.0,6351.0,1735.0,318.0
