index,confirmed,hospitalized,recovered,deceased
region_name,bengaluru urban,bengaluru urban,bengaluru urban,bengaluru urban
region_type,district,district,district,district
1/22/20,0.0,0.0,0.0,0.0
1/23/20,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0,0.0
3/2/20,0.0,0.0,0.0,0.0
3/3/20,0.0,0.0,0.0,0.0
3/4/20,0.0,0.0,0.0,0.0
3/5/20,0.0,0.0,0.0,0.0
3/6/20,0.0,0.0,0.0,0.0
3/7/20,0.0,0.0,0.0,0.0
3/8/20,0.0,0.0,0.0,0.0
3/9/20,1.0,0.0,0.0,0.0
3/10/20,4.0,0.0,0.0,0.0
3/11/20,4.0,0.0,0.0,0.0
3/12/20,5.0,0.0,0.0,0.0
3/13/20,5.0,0.0,0.0,0.0
3/14/20,5.0,0.0,0.0,0.0
3/15/20,5.0,0.0,0.0,0.0
3/16/20,5.0,0.0,0.0,0.0
3/17/20,8.0,0.0,0.0,0.0
3/18/20,11.0,0.0,0.0,0.0
3/19/20,11.0,0.0,0.0,0.0
3/20/20,11.0,0.0,1.0,0.0
3/21/20,14.0,2.0,1.0,0.0
3/22/20,17.0,2.0,3.0,0.0
3/23/20,22.0,4.0,3.0,0.0
3/24/20,23.0,5.0,5.0,0.0
3/25/20,31.0,8.0,7.0,0.0
3/26/20,32.0,9.0,7.0,0.0
3/27/20,36.0,13.0,9.0,0.0
3/28/20,38.0,14.0,10.0,0.0
3/29/20,38.0,14.0,10.0,0.0
3/30/20,38.0,14.0,11.0,0.0
3/31/20,42.0,18.0,12.0,0.0
4/1/20,45.0,20.0,13.0,0.0
4/2/20,45.0,20.0,14.0,0.0
4/3/20,45.0,20.0,14.0,0.0
4/4/20,49.0,24.0,14.0,0.0
4/5/20,49.0,24.0,15.0,0.0
4/6/20,50.0,25.0,19.0,0.0
4/7/20,53.0,28.0,20.0,0.0
4/8/20,53.0,28.0,20.0,0.0
4/9/20,56.0,30.0,20.0,0.0
4/10/20,58.0,32.0,20.0,0.0
4/11/20,60.0,34.0,20.0,0.0
4/12/20,63.0,37.0,21.0,0.0
4/13/20,64.0,38.0,25.0,0.0
4/14/20,67.0,41.0,25.0,0.0
4/15/20,68.0,42.0,25.0,1.0
4/16/20,72.0,46.0,25.0,1.0
4/17/20,82.0,56.0,25.0,1.0
4/18/20,85.0,59.0,25.0,1.0
4/19/20,85.0,59.0,25.0,1.0
4/20/20,85.0,59.0,25.0,1.0
4/21/20,85.0,59.0,25.0,1.0
4/22/20,87.0,61.0,25.0,1.0
4/23/20,97.0,71.0,25.0,1.0
4/24/20,116.0,89.0,25.0,1.0
4/25/20,129.0,102.0,25.0,1.0
4/26/20,129.0,102.0,25.0,2.0
4/27/20,130.0,103.0,25.0,2.0
4/28/20,131.0,104.0,30.0,2.0
4/29/20,131.0,104.0,30.0,2.0
4/30/20,141.0,114.0,33.0,2.0
5/1/20,141.0,114.0,41.0,2.0
5/2/20,145.0,118.0,43.0,3.0
5/3/20,149.0,122.0,44.0,3.0
5/4/20,150.0,123.0,47.0,3.0
5/5/20,153.0,126.0,47.0,3.0
5/6/20,155.0,128.0,47.0,3.0
5/7/20,156.0,129.0,49.0,3.0
5/8/20,163.0,136.0,56.0,3.0
5/9/20,175.0,148.0,58.0,3.0
5/10/20,177.0,150.0,58.0,4.0
5/11/20,178.0,151.0,63.0,4.0
5/12/20,182.0,155.0,63.0,4.0
5/13/20,182.0,155.0,63.0,4.0
