index,confirmed,hospitalized,recovered,deceased
region_name,delhi,delhi,delhi,delhi
region_type,state,state,state,state
1/22/20,0.0,0.0,0.0,0.0
1/23/20,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0,0.0
3/2/20,1.0,0.0,0.0,0.0
3/3/20,1.0,0.0,0.0,0.0
3/4/20,1.0,0.0,0.0,0.0
3/5/20,2.0,1.0,0.0,0.0
3/6/20,3.0,1.0,0.0,0.0
3/7/20,3.0,1.0,0.0,0.0
3/8/20,3.0,1.0,0.0,0.0
3/9/20,4.0,2.0,0.0,0.0
3/10/20,4.0,2.0,0.0,0.0
3/11/20,5.0,2.0,0.0,0.0
3/12/20,6.0,2.0,0.0,1.0
3/13/20,7.0,3.0,0.0,1.0
3/14/20,7.0,3.0,0.0,1.0
3/15/20,7.0,3.0,2.0,1.0
3/16/20,7.0,3.0,2.0,1.0
3/17/20,10.0,5.0,2.0,1.0
3/18/20,11.0,6.0,2.0,1.0
3/19/20,14.0,9.0,2.0,1.0
3/20/20,20.0,15.0,2.0,1.0
3/21/20,27.0,22.0,2.0,1.0
3/22/20,28.0,23.0,2.0,1.0
3/23/20,30.0,25.0,2.0,1.0
3/24/20,30.0,26.0,2.0,1.0
3/25/20,35.0,31.0,2.0,1.0
3/26/20,39.0,32.0,2.0,1.0
3/27/20,40.0,36.0,2.0,1.0
3/28/20,49.0,45.0,2.0,1.0
3/29/20,72.0,68.0,2.0,1.0
3/30/20,97.0,93.0,2.0,1.0
3/31/20,120.0,116.0,2.0,1.0
4/1/20,152.0,148.0,2.0,1.0
4/2/20,293.0,289.0,2.0,1.0
4/3/20,386.0,382.0,2.0,1.0
4/4/20,445.0,441.0,2.0,1.0
4/5/20,503.0,499.0,2.0,1.0
4/6/20,525.0,521.0,2.0,1.0
4/7/20,576.0,572.0,2.0,1.0
4/8/20,669.0,665.0,2.0,1.0
4/9/20,720.0,716.0,2.0,1.0
4/10/20,903.0,899.0,2.0,1.0
4/11/20,1069.0,1065.0,2.0,1.0
4/12/20,1154.0,1150.0,2.0,1.0
4/13/20,1510.0,1506.0,2.0,1.0
4/14/20,1561.0,1557.0,2.0,1.0
4/15/20,1578.0,1574.0,2.0,1.0
4/16/20,1640.0,1636.0,2.0,1.0
4/17/20,1707.0,1703.0,2.0,1.0
4/18/20,1893.0,1889.0,2.0,1.0
4/19/20,2003.0,1999.0,2.0,1.0
4/20/20,2081.0,2077.0,2.0,1.0
4/21/20,2156.0,2152.0,2.0,1.0
4/22/20,2248.0,2244.0,2.0,1.0
4/23/20,2376.0,2372.0,2.0,1.0
4/24/20,2514.0,2510.0,2.0,1.0
4/25/20,2625.0,2621.0,2.0,1.0
4/26/20,2918.0,2914.0,2.0,1.0
4/27/20,3108.0,3104.0,2.0,1.0
4/28/20,3314.0,3310.0,203.0,1.0
4/29/20,3439.0,3435.0,217.0,3.0
4/30/20,3515.0,3511.0,219.0,6.0
5/1/20,3738.0,3734.0,292.0,8.0
5/2/20,4122.0,4118.0,381.0,11.0
5/3/20,4549.0,4545.0,487.0,11.0
5/4/20,4898.0,4894.0,556.0,11.0
5/5/20,5104.0,5100.0,593.0,11.0
5/6/20,5532.0,5528.0,667.0,12.0
5/7/20,5980.0,5976.0,1056.0,13.0
5/8/20,6318.0,6314.0,1145.0,15.0
5/9/20,6542.0,6538.0,1145.0,15.0
5/10/20,6923.0,6919.0,1194.0,20.0
5/11/20,7233.0,7229.0,1254.0,20.0
5/12/20,7639.0,7635.0,1637.0,33.0
5/13/20,7998.0,7994.0,1983.0,53.0
