index,confirmed,hospitalized,recovered,deceased
region_name,jaipur,jaipur,jaipur,jaipur
region_type,district,district,district,district
1/22/20,0.0,0.0,0.0,0.0
1/23/20,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0,0.0
3/2/20,0.0,0.0,0.0,0.0
3/3/20,0.0,0.0,0.0,0.0
3/4/20,0.0,0.0,0.0,0.0
3/5/20,0.0,0.0,0.0,0.0
3/6/20,0.0,0.0,0.0,0.0
3/7/20,0.0,0.0,0.0,0.0
3/8/20,0.0,0.0,0.0,0.0
3/9/20,0.0,0.0,0.0,0.0
3/10/20,1.0,0.0,1.0,0.0
3/11/20,1.0,0.0,1.0,0.0
3/12/20,1.0,0.0,1.0,0.0
3/13/20,1.0,0.0,1.0,0.0
3/14/20,2.0,1.0,1.0,0.0
3/15/20,2.0,1.0,1.0,0.0
3/16/20,2.0,1.0,1.0,0.0
3/17/20,2.0,1.0,1.0,0.0
3/18/20,2.0,1.0,1.0,0.0
3/19/20,4.0,3.0,1.0,0.0
3/20/20,6.0,5.0,1.0,0.0
3/21/20,6.0,5.0,1.0,0.0
3/22/20,6.0,5.0,1.0,0.0
3/23/20,6.0,5.0,1.0,0.0
3/24/20,6.0,5.0,1.0,0.0
3/25/20,6.0,5.0,1.0,0.0
3/26/20,7.0,6.0,1.0,0.0
3/27/20,8.0,7.0,1.0,0.0
3/28/20,8.0,7.0,1.0,0.0
3/29/20,8.0,7.0,1.0,0.0
3/30/20,18.0,17.0,1.0,0.0
3/31/20,19.0,18.0,1.0,0.0
4/1/20,32.0,31.0,1.0,0.0
4/2/20,39.0,38.0,1.0,0.0
4/3/20,53.0,52.0,1.0,0.0
4/4/20,53.0,52.0,1.0,0.0
4/5/20,92.0,91.0,1.0,0.0
4/6/20,100.0,99.0,1.0,0.0
4/7/20,106.0,105.0,1.0,0.0
4/8/20,129.0,128.0,1.0,0.0
4/9/20,168.0,167.0,1.0,0.0
4/10/20,221.0,220.0,1.0,0.0
4/11/20,301.0,300.0,1.0,0.0
4/12/20,341.0,340.0,1.0,0.0
4/13/20,370.0,369.0,1.0,0.0
4/14/20,453.0,452.0,1.0,0.0
4/15/20,483.0,482.0,1.0,0.0
4/16/20,486.0,485.0,1.0,0.0
4/17/20,494.0,493.0,1.0,0.0
4/18/20,519.0,518.0,1.0,0.0
4/19/20,535.0,534.0,1.0,0.0
4/20/20,585.0,584.0,1.0,0.0
4/21/20,657.0,656.0,1.0,0.0
4/22/20,725.0,724.0,1.0,0.0
4/23/20,740.0,739.0,1.0,0.0
4/24/20,776.0,775.0,1.0,0.0
4/25/20,791.0,790.0,1.0,0.0
4/26/20,808.0,807.0,1.0,0.0
4/27/20,833.0,832.0,23.0,6.0
4/28/20,859.0,858.0,52.0,6.0
4/29/20,881.0,880.0,62.0,9.0
4/30/20,907.0,906.0,100.0,11.0
5/1/20,928.0,927.0,129.0,13.0
5/2/20,961.0,960.0,141.0,17.0
5/3/20,993.0,992.0,179.0,19.0
5/4/20,1022.0,1021.0,225.0,23.0
5/5/20,1047.0,1046.0,225.0,29.0
5/6/20,1090.0,1089.0,383.0,30.0
5/7/20,1111.0,1110.0,456.0,32.0
5/8/20,1145.0,1144.0,499.0,33.0
5/9/20,1196.0,1195.0,551.0,35.0
5/10/20,1219.0,1218.0,551.0,36.0
5/11/20,1247.0,1246.0,572.0,38.0
5/12/20,1281.0,1280.0,605.0,39.0
5/13/20,1313.0,1312.0,605.0,39.0
