index,confirmed,hospitalized,recovered,deceased
region_name,mumbai,mumbai,mumbai,mumbai
region_type,district,district,district,district
1/22/20,0.0,0.0,0.0,0.0
1/23/20,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0,0.0
3/2/20,0.0,0.0,0.0,0.0
3/3/20,0.0,0.0,0.0,0.0
3/4/20,0.0,0.0,0.0,0.0
3/5/20,0.0,0.0,0.0,0.0
3/6/20,0.0,0.0,0.0,0.0
3/7/20,0.0,0.0,0.0,0.0
3/8/20,0.0,0.0,0.0,0.0
3/9/20,0.0,0.0,0.0,0.0
3/10/20,0.0,0.0,0.0,0.0
3/11/20,2.0,2.0,0.0,0.0
3/12/20,4.0,3.0,0.0,1.0
3/13/20,4.0,3.0,0.0,1.0
3/14/20,5.0,4.0,0.0,1.0
3/15/20,5.0,4.0,0.0,1.0
3/16/20,6.0,5.0,0.0,1.0
3/17/20,7.0,6.0,0.0,1.0
3/18/20,8.0,7.0,0.0,1.0
3/19/20,9.0,9.0,0.0,1.0
3/20/20,11.0,11.0,0.0,1.0
3/21/20,19.0,17.0,0.0,1.0
3/22/20,24.0,22.0,0.0,2.0
3/23/20,35.0,35.0,0.0,2.0
3/24/20,41.0,39.0,0.0,2.0
3/25/20,48.0,46.0,0.0,2.0
3/26/20,49.0,47.0,0.0,2.0
3/27/20,51.0,52.0,0.0,2.0
3/28/20,73.0,71.0,0.0,2.0
3/29/20,78.0,76.0,0.0,2.0
3/30/20,85.0,101.0,0.0,2.0
3/31/20,144.0,142.0,0.0,2.0
4/1/20,174.0,172.0,0.0,2.0
4/2/20,228.0,226.0,0.0,2.0
4/3/20,271.0,269.0,0.0,2.0
4/4/20,370.0,297.0,0.0,2.0
4/5/20,451.0,378.0,0.0,2.0
4/6/20,518.0,445.0,0.0,2.0
4/7/20,642.0,569.0,0.0,2.0
4/8/20,714.0,641.0,0.0,2.0
4/9/20,876.0,803.0,0.0,2.0
4/10/20,1008.0,935.0,0.0,2.0
4/11/20,1146.0,1073.0,0.0,2.0
4/12/20,1298.0,1225.0,0.0,2.0
4/13/20,1540.0,1467.0,0.0,2.0
4/14/20,1756.0,1683.0,0.0,2.0
4/15/20,1896.0,1823.0,0.0,2.0
4/16/20,2073.0,2001.0,0.0,2.0
4/17/20,2085.0,2012.0,0.0,2.0
4/18/20,2268.0,2195.0,0.0,2.0
4/19/20,2724.0,2651.0,0.0,2.0
4/20/20,2912.0,2838.0,0.0,2.0
4/21/20,2913.0,2838.0,0.0,2.0
4/22/20,3145.0,3070.0,0.0,2.0
4/23/20,3146.0,3070.0,0.0,2.0
4/24/20,3147.0,3070.0,0.0,2.0
4/25/20,3148.0,3070.0,0.0,2.0
4/26/20,3149.0,3070.0,0.0,2.0
4/27/20,3518.0,3439.0,70.0,17.0
4/28/20,3911.0,3832.0,157.0,42.0
4/29/20,4386.0,4307.0,295.0,68.0
4/30/20,4803.0,4724.0,451.0,88.0
5/1/20,5554.0,5475.0,493.0,94.0
5/2/20,6101.0,6022.0,562.0,120.0
5/3/20,6542.0,6463.0,589.0,141.0
5/4/20,7052.0,6973.0,754.0,159.0
5/5/20,7687.0,7608.0,964.0,185.0
5/6/20,8456.0,8377.0,1053.0,210.0
5/7/20,9136.0,9057.0,1152.0,235.0
5/8/20,9884.0,9805.0,1226.0,260.0
5/9/20,10606.0,10527.0,1226.0,287.0
5/10/20,11481.0,11402.0,1655.0,306.0
5/11/20,12263.0,12184.0,1725.0,326.0
5/12/20,12689.0,12610.0,1872.0,354.0
5/13/20,12689.0,12610.0,1872.0,354.0
