index,confirmed,hospitalized,recovered,deceased
region_name,pune,pune,pune,pune
region_type,district,district,district,district
1/22/20,0.0,0.0,0.0,0.0
1/23/20,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0
1/25/20,0.0,0.0,0.0,0.0
1/26/20,0.0,0.0,0.0,0.0
1/27/20,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0
1/29/20,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0,0.0
3/2/20,0.0,0.0,0.0,0.0
3/3/20,0.0,0.0,0.0,0.0
3/4/20,0.0,0.0,0.0,0.0
3/5/20,0.0,0.0,0.0,0.0
3/6/20,0.0,0.0,0.0,0.0
3/7/20,0.0,0.0,0.0,0.0
3/8/20,0.0,0.0,0.0,0.0
3/9/20,2.0,0.0,0.0,0.0
3/10/20,5.0,3.0,0.0,0.0
3/11/20,8.0,6.0,0.0,0.0
3/12/20,9.0,7.0,0.0,0.0
3/13/20,10.0,8.0,0.0,0.0
3/14/20,10.0,13.0,0.0,0.0
3/15/20,15.0,14.0,0.0,0.0
3/16/20,16.0,14.0,0.0,0.0
3/17/20,17.0,15.0,0.0,0.0
3/18/20,19.0,17.0,0.0,0.0
3/19/20,19.0,17.0,0.0,0.0
3/20/20,21.0,19.0,0.0,0.0
3/21/20,23.0,21.0,0.0,0.0
3/22/20,27.0,25.0,0.0,0.0
3/23/20,28.0,26.0,0.0,0.0
3/24/20,31.0,28.0,0.0,0.0
3/25/20,31.0,28.0,2.0,0.0
3/26/20,31.0,28.0,2.0,0.0
3/27/20,32.0,29.0,2.0,0.0
3/28/20,32.0,33.0,2.0,0.0
3/29/20,37.0,34.0,2.0,0.0
3/30/20,43.0,40.0,2.0,0.0
3/31/20,48.0,45.0,2.0,0.0
4/1/20,50.0,47.0,2.0,0.0
4/2/20,61.0,57.0,2.0,0.0
4/3/20,70.0,63.0,2.0,0.0
4/4/20,82.0,64.0,2.0,0.0
4/5/20,100.0,81.0,2.0,0.0
4/6/20,141.0,122.0,2.0,0.0
4/7/20,151.0,132.0,2.0,0.0
4/8/20,189.0,170.0,2.0,5.0
4/9/20,206.0,187.0,3.0,7.0
4/10/20,248.0,229.0,3.0,7.0
4/11/20,257.0,238.0,3.0,7.0
4/12/20,263.0,244.0,3.0,7.0
4/13/20,308.0,289.0,3.0,7.0
4/14/20,351.0,332.0,3.0,7.0
4/15/20,407.0,387.0,3.0,7.0
4/16/20,473.0,453.0,3.0,7.0
4/17/20,504.0,484.0,3.0,8.0
4/18/20,591.0,571.0,3.0,8.0
4/19/20,611.0,591.0,3.0,8.0
4/20/20,612.0,591.0,3.0,8.0
4/21/20,613.0,591.0,3.0,8.0
4/22/20,702.0,680.0,3.0,8.0
4/23/20,703.0,680.0,3.0,8.0
4/24/20,704.0,680.0,3.0,8.0
4/25/20,705.0,680.0,3.0,8.0
4/26/20,706.0,680.0,3.0,8.0
4/27/20,753.0,727.0,14.0,12.0
4/28/20,828.0,802.0,26.0,14.0
4/29/20,846.0,820.0,37.0,17.0
4/30/20,902.0,876.0,41.0,20.0
5/1/20,970.0,944.0,78.0,31.0
5/2/20,993.0,967.0,114.0,34.0
5/3/20,1050.0,1024.0,132.0,38.0
5/4/20,1672.0,1646.0,218.0,45.0
5/5/20,1716.0,1690.0,321.0,51.0
5/6/20,1741.0,1715.0,381.0,54.0
5/7/20,1783.0,1757.0,463.0,61.0
5/8/20,1831.0,1805.0,523.0,71.0
5/9/20,1879.0,1853.0,523.0,81.0
5/10/20,2333.0,2307.0,718.0,87.0
5/11/20,2443.0,2417.0,879.0,90.0
5/12/20,2591.0,2565.0,956.0,96.0
5/13/20,2591.0,2565.0,956.0,96.0
