state_id,state_name,district,population,
1,JAMMU & KASHMIR,Kupwara,870354,
1,JAMMU & KASHMIR,Badgam,753745,
1,JAMMU & KASHMIR,Ladakh,133487,
1,JAMMU & KASHMIR,Leh(Ladakh),133487,
1,JAMMU & KASHMIR,Kargil,140802,
1,JAMMU & KASHMIR,Punch,476835,
1,JAMMU & KASHMIR,Rajouri,642415,
1,JAMMU & KASHMIR,Kathua,616435,
1,JAMMU & KASHMIR,Baramula,1008039,
1,JAMMU & KASHMIR,Bandipore,392232,
1,JAMMU & KASHMIR,Srinagar,1236829,
1,JAMMU & KASHMIR,Ganderbal,297446,
1,JAMMU & KASHMIR,Pulwama,560440,
1,JAMMU & KASHMIR,Shupiyan,266215,
1,JAMMU & KASHMIR,Anantnag,1078692,
1,JAMMU & KASHMIR,Kulgam,424483,
1,JAMMU & KASHMIR,Doda,409936,
1,JAMMU & KASHMIR,Ramban,283713,
1,JAMMU & KASHMIR,Kishtwar,230696,
1,JAMMU & KASHMIR,Udhampur,554985,
1,JAMMU & KASHMIR,Reasi,314667,
1,JAMMU & KASHMIR,Jammu,1529958,
1,JAMMU & KASHMIR,Samba,318898,
2,HIMACHAL PRADESH,Chamba,519080,
2,HIMACHAL PRADESH,Kangra,1510075,
2,HIMACHAL PRADESH,Lahul & Spiti,31564,
2,HIMACHAL PRADESH,Kullu,437903,
2,HIMACHAL PRADESH,Mandi,999777,
2,HIMACHAL PRADESH,Hamirpur,454768,
2,HIMACHAL PRADESH,Una,521173,
2,HIMACHAL PRADESH,Bilaspur,381956,
2,HIMACHAL PRADESH,Solan,580320,
2,HIMACHAL PRADESH,Sirmaur,529855,
2,HIMACHAL PRADESH,Shimla,814010,
2,HIMACHAL PRADESH,Kinnaur,84121,
3,PUNJAB,Gurdaspur,2298323,
3,PUNJAB,Kapurthala ,815168,
3,PUNJAB,Jalandhar,2193590,
3,PUNJAB,Hoshiarpur,1586625,
3,PUNJAB,Shahid Bhagat Singh Nagar ,612310,
3,PUNJAB,Fatehgarh Sahib,600163,
3,PUNJAB,Ludhiana,3498739,
3,PUNJAB,Moga,995746,
3,PUNJAB,Firozpur,2029074,
3,PUNJAB,Muktsar,901896,
3,PUNJAB,Faridkot,617508,
3,PUNJAB,Bathinda,1388525,
3,PUNJAB,Mansa,769751,
3,PUNJAB,Patiala,1895686,
3,PUNJAB,Amritsar ,2490656,
3,PUNJAB,Tarn Taran,1119627,
3,PUNJAB,Rupnagar,684627,
3,PUNJAB,Sahibzada Ajit Singh Nagar,994628,
3,PUNJAB,Sangrur,1655169,
3,PUNJAB,Barnala,595527,
4,CHANDIGARH,Chandigarh,1055450,
5,UTTARAKHAND,Uttarkashi,330086,
5,UTTARAKHAND,Chamoli,391605,
5,UTTARAKHAND,Rudraprayag,242285,
5,UTTARAKHAND,Tehri Garhwal,618931,
5,UTTARAKHAND,Dehradun,1696694,
5,UTTARAKHAND,Garhwal,687271,
5,UTTARAKHAND,Pithoragarh,483439,
5,UTTARAKHAND,Bageshwar,259898,
5,UTTARAKHAND,"Almora
",622506,
5,UTTARAKHAND,Champawat,259648,
5,UTTARAKHAND,Nainital,954605,
5,UTTARAKHAND,Udham Singh Nagar,1648902,
5,UTTARAKHAND,Hardwar,1890422,
6,HARYANA,Panchkula,561293,
6,HARYANA,Ambala,1128350,
6,HARYANA,Yamunanagar,1214205,
6,HARYANA,Kurukshetra,964655,
