,reported_date,patientId,district,active_cases_count
55,2020-03-25,0.0,Thrissur,2.0
56,2020-03-26,2.0,Thrissur,4.0
57,2020-03-27,1.0,Thrissur,4.0
52,2020-03-25,0.0,Alappuzha,1.0
53,2020-03-26,0.0,Alappuzha,1.0
54,2020-03-27,0.0,Alappuzha,1.0
51,2020-03-25,0.0,Kasaragod,44.0
52,2020-03-26,3.0,Kasaragod,47.0
53,2020-03-27,34.0,Kasaragod,81.0
23,2020-03-25,0.0,East Delhi,0.0
24,2020-03-26,0.0,East Delhi,0.0
25,2020-03-27,0.0,East Delhi,0.0
23,2020-03-25,2.0,Hyderabad,32.0
24,2020-03-26,3.0,Hyderabad,35.0
25,2020-03-27,0.0,Hyderabad,35.0
22,2020-03-25,0.0,Jaipur,7.0
23,2020-03-26,1.0,Jaipur,8.0
24,2020-03-27,0.0,Jaipur,8.0
21,2020-03-25,1.0,Gurugram,10.0
22,2020-03-26,0.0,Gurugram,10.0
23,2020-03-27,0.0,Gurugram,10.0
21,2020-03-25,0.0,Agra,1.0
22,2020-03-26,0.0,Agra,1.0
23,2020-03-27,0.0,Agra,1.0
21,2020-03-25,13.0,,90.0
22,2020-03-26,14.0,,104.0
23,2020-03-27,47.0,,151.0
20,2020-03-25,0.0,South West Delhi,2.0
21,2020-03-26,0.0,South West Delhi,1.0
22,2020-03-27,0.0,South West Delhi,0.0
20,2020-03-25,0.0,Ghaziabad,2.0
21,2020-03-26,0.0,Ghaziabad,2.0
22,2020-03-27,0.0,Ghaziabad,1.0
19,2020-03-25,0.0,West Delhi,0.0
20,2020-03-26,0.0,West Delhi,0.0
21,2020-03-27,0.0,West Delhi,0.0
18,2020-03-25,0.0,Leh,9.0
19,2020-03-26,0.0,Leh,8.0
20,2020-03-27,0.0,Leh,8.0
18,2020-03-25,1.0,Chennai,12.0
19,2020-03-26,2.0,Chennai,14.0
20,2020-03-27,4.0,Chennai,18.0
17,2020-03-25,2.0,Pathanamthitta,3.0
18,2020-03-26,0.0,Pathanamthitta,3.0
19,2020-03-27,0.0,Pathanamthitta,3.0
16,2020-03-25,5.0,Delhi,9.0
17,2020-03-26,1.0,Delhi,10.0
18,2020-03-27,0.0,Delhi,10.0
16,2020-03-25,8.0,Bengaluru,28.0
