Rank,state,population,Population2011,x,Yf,z,Ww,tp
1,Uttar Pradesh,228959599,199812341,29147258,14.59,17.15,Brazil,5
2,Maharashtra,120837347,112374333,8463014,7.53,9.05,Japan,12
3,Bihar,119461013,104099452,15361561,14.76,8.95,Japan,12
4,West Bengal,97694960,91276115,6418845,7.03,7.32,Viet Nam,15
5,Madhya Pradesh,82342793,72626809,9715984,13.38,6.17,Germany,17
6,Rajasthan,78230816,68548437,9682379,14.12,5.86,Turkey,20
7,Tamil Nadu,76481545,72147030,4334515,6.01,5.73,Turkey,20
8,Karnataka,66165886,61095297,5070589,8.30,4.96,United Kingdom,22
9,Gujarat,63907200,60439692,3467508,5.74,4.79,France,23
10,Andhra Pradesh,52883163,49576777,3306386,6.67,3.96,Myanmar,27
11,Odisha,45429399,41974218,3455181,8.23,3.40,Argentina,31
12,Telangana,38472769,35004000,3468769,9.91,2.88,Poland,37
13,Jharkhand,37329128,32988134,4340994,13.16,2.80,Canada,38
14,Kerala,35330888,33406061,1924827,5.76,2.65,Morocco,41
15,Assam,34586234,31205576,3380658,10.83,2.59,Saudi Arabia,41
16,Punjab,29611935,27743338,1868597,6.74,2.22,Nepal,49
17,Chhattisgarh,28566990,25545198,3021792,11.83,2.14,Yemen,51
18,Haryana,27388008,25351462,2036546,8.03,2.05,Madagascar,51
NCT,Delhi,18345784,16787941,1557843,9.28,1.37,Kazakhstan,64
19,Jammu & Kashmir,13635010,12541302,1093708,8.72,1.02,Guinea,75
20,Uttarakhand,11090425,10086292,1004133,9.96,0.83,Haiti,86
21,Himachal Pradesh,7316708,6864602,452106,6.59,0.55,China Hong Kong SAR,105
22,Tripura,4057847,3673917,383930,10.45,0.30,Republic of Moldova,132
23,Meghalaya,3276323,2966889,309434,10.43,0.25,Mongolia,137
24,Manipur,3008546,2855794,152752,5.35,0.23,Albania,138
25,Nagaland,2189297,1978502,210795,10.65,0.16,Gambia,146
26,Goa,1542750,1458545,84205,5.77,0.12,Bahrain,153
27,Arunachal Pradesh,1528296,1383727,144569,10.45,0.11,Bahrain,153
UT1,Puducherry,1375592,1247953,127639,10.23,0.10,Trinidad and Tobago,154
28,Mizoram,1205974,1097206,108768,9.91,0.09,Cyprus,159
UT2,Chandigarh,1126705,1055450,71255,6.75,0.08,Cyprus,160
29,Sikkim,671720,610577,61143,10.01,0.05,China Macao SAR,166
UT3,A.& N.Islands,419978,380581,39397,10.35,0.03,Malta,177
UT4,D.& N.Haveli,378979,343709,35270,10.26,0.03,Belize,180
UT5,Daman & Diu,220084,243247,-23163,-9.52,0.02,Sao Tome and Principe,187
UT6,Lakshadweep,71218,64473,6745,10.46,0.01,Dominica,205
