,reported_date,patientId,state,active_cases_count
55,2020-03-25,9.0,Kerala,101.0
56,2020-03-26,19.0,Kerala,120.0
57,2020-03-27,39.0,Kerala,157.0
23,2020-03-25,5.0,Delhi,31.0
24,2020-03-26,4.0,Delhi,34.0
25,2020-03-27,1.0,Delhi,34.0
23,2020-03-25,2.0,Telangana,40.0
24,2020-03-26,4.0,Telangana,44.0
25,2020-03-27,14.0,Telangana,58.0
22,2020-03-25,6.0,Rajasthan,35.0
23,2020-03-26,5.0,Rajasthan,40.0
24,2020-03-27,7.0,Rajasthan,47.0
21,2020-03-25,1.0,Haryana,17.0
22,2020-03-26,1.0,Haryana,18.0
23,2020-03-27,1.0,Haryana,19.0
21,2020-03-25,3.0,Uttar Pradesh,28.0
22,2020-03-26,4.0,Uttar Pradesh,32.0
23,2020-03-27,7.0,Uttar Pradesh,37.0
18,2020-03-25,0.0,Ladakh,11.0
19,2020-03-26,0.0,Ladakh,10.0
20,2020-03-27,0.0,Ladakh,10.0
18,2020-03-25,8.0,Tamil Nadu,25.0
19,2020-03-26,3.0,Tamil Nadu,28.0
20,2020-03-27,9.0,Tamil Nadu,37.0
16,2020-03-25,5.0,Jammu and Kashmir,10.0
17,2020-03-26,3.0,Jammu and Kashmir,13.0
18,2020-03-27,6.0,Jammu and Kashmir,19.0
16,2020-03-25,10.0,Karnataka,47.0
17,2020-03-26,4.0,Karnataka,51.0
18,2020-03-27,9.0,Karnataka,58.0
16,2020-03-25,15.0,Maharashtra,117.0
17,2020-03-26,8.0,Maharashtra,120.0
18,2020-03-27,26.0,Maharashtra,142.0
16,2020-03-25,2.0,Punjab,30.0
17,2020-03-26,2.0,Punjab,32.0
18,2020-03-27,5.0,Punjab,37.0
13,2020-03-25,2.0,Andhra Pradesh,10.0
14,2020-03-26,1.0,Andhra Pradesh,11.0
15,2020-03-27,2.0,Andhra Pradesh,12.0
10,2020-03-25,1.0,Uttarakhand,5.0
11,2020-03-26,0.0,Uttarakhand,5.0
12,2020-03-27,0.0,Uttarakhand,5.0
9,2020-03-25,0.0,Odisha,2.0
10,2020-03-26,1.0,Odisha,3.0
11,2020-03-27,0.0,Odisha,3.0
8,2020-03-25,0.0,Puducherry,1.0
9,2020-03-26,0.0,Puducherry,1.0
10,2020-03-27,0.0,Puducherry,1.0
8,2020-03-25,0.0,West Bengal,9.0
9,2020-03-26,1.0,West Bengal,10.0
10,2020-03-27,5.0,West Bengal,15.0
6,2020-03-25,0.0,Chandigarh,7.0
7,2020-03-26,0.0,Chandigarh,7.0
8,2020-03-27,1.0,Chandigarh,8.0
6,2020-03-25,2.0,Chhattisgarh,3.0
7,2020-03-26,3.0,Chhattisgarh,6.0
8,2020-03-27,0.0,Chhattisgarh,6.0
6,2020-03-25,2.0,Gujarat,38.0
7,2020-03-26,6.0,Gujarat,44.0
8,2020-03-27,3.0,Gujarat,47.0
5,2020-03-25,0.0,Himachal Pradesh,3.0
6,2020-03-26,0.0,Himachal Pradesh,3.0
7,2020-03-27,0.0,Himachal Pradesh,3.0
5,2020-03-25,8.0,Madhya Pradesh,15.0
6,2020-03-26,5.0,Madhya Pradesh,20.0
7,2020-03-27,9.0,Madhya Pradesh,29.0
3,2020-03-25,1.0,Bihar,4.0
4,2020-03-26,3.0,Bihar,7.0
5,2020-03-27,2.0,Bihar,9.0
1,2020-03-25,0.0,Manipur,1.0
2,2020-03-26,0.0,Manipur,1.0
3,2020-03-27,0.0,Manipur,1.0
0,2020-03-25,1.0,Mizoram,1.0
1,2020-03-26,0.0,Mizoram,1.0
2,2020-03-27,0.0,Mizoram,1.0
0,2020-03-25,3.0,Goa,3.0
1,2020-03-26,0.0,Goa,3.0
2,2020-03-27,0.0,Goa,3.0
0,2020-03-26,1.0,Andaman and Nicobar Islands,1.0
1,2020-03-27,5.0,Andaman and Nicobar Islands,6.0
