Province/State,Country/Region,Lat,Long,02/24/2020,02/25/2020,02/26/2020,02/27/2020,02/28/2020,02/29/2020,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020
Abruzzo,Italy,42.35122196,13.39843823,0,0,0,1,1,2,5,5,6,7,8,9,11,17,30,38,38,84,89,112,137,176,229,263,385,449,529,587,663,689,813,946,1017,1133,1293,1345,1401,1436,1497,1563,1628,1703,1721,1799,1859,1931
Basilicata,Italy,40.63947052,15.80514834,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,7,8,8,10,10,11,12,20,27,37,52,66,81,90,92,113,134,151,182,202,214,226,237,246,261,264,278,287,291,297,303
Calabria,Italy,38.90597598,16.59440194,0,0,0,0,1,1,1,1,1,1,2,4,4,9,11,13,19,33,38,60,68,89,114,129,169,207,235,273,292,319,351,393,494,555,614,647,659,669,691,733,741,795,817,833,859,874
Campania,Italy,40.83956555,14.25084984,0,0,0,3,4,13,17,17,30,31,45,57,61,101,120,127,154,179,220,272,333,400,460,460,652,749,844,936,1026,1101,1199,1310,1454,1592,1759,1952,2092,2231,2456,2677,2828,2960,3058,3148,3268,3344
Emilia-Romagna,Italy,44.49436681,11.3417208,18,26,47,97,145,217,285,335,420,544,698,870,1010,1180,1386,1533,1739,1947,2263,2644,3093,3522,3931,4525,5214,5968,6705,7555,8535,9254,10054,10816,11588,12383,13119,13531,14074,14787,15333,15932,16540,17089,17556,17825,18234,18677
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,0,0,0,0,0,0,6,9,13,18,21,31,42,57,93,116,126,167,257,301,347,386,394,462,599,656,790,874,930,992,1139,1223,1317,1436,1480,1501,1593,1685,1799,1879,1986,2048,2103,2153,2218,2299
Lazio,Italy,41.89277044,12.48366722,3,3,3,3,3,6,6,7,14,30,44,54,76,87,102,116,150,200,277,357,436,523,607,724,823,1008,1190,1383,1540,1728,1901,2096,2295,2505,2706,2914,3095,3264,3433,3600,3757,3880,4031,4149,4266,4429
Liguria,Italy,44.41149315,8.9326992,0,1,11,19,19,42,25,22,24,26,28,32,51,78,109,141,194,274,345,463,559,667,778,887,1059,1221,1436,1665,1924,2116,2305,2567,2696,2822,3076,3217,3416,3660,3782,3965,4203,4449,4549,4757,4906,5020
Lombardia,Italy,45.46679409,9.190347404,172,240,258,403,531,615,984,1254,1520,1820,2251,2612,3420,4189,5469,5791,7280,8725,9820,11685,13272,14649,16220,17713,19884,22264,25515,27206,28761,30703,32346,34889,37298,39415,41007,42161,43208,44773,46065,47520,49118,50455,51534,52325,53414,54802
Marche,Italy,43.61675973,13.5188753,0,0,1,3,6,11,25,35,61,84,124,159,207,272,323,394,479,592,725,899,1133,1242,1371,1568,1737,1981,2153,2421,2569,2736,2934,3114,3196,3373,3558,3684,3825,3962,4098,4230,4341,4464,4614,4710,4859,4955
Molise,Italy,41.55774754,14.65916051,0,0,0,0,0,0,0,0,3,3,7,12,14,14,14,15,16,16,17,17,17,21,25,28,46,50,61,66,67,73,73,103,109,123,127,134,144,160,165,176,206,224,224,224,226,234
P.A. Bolzano,Italy,46.49933453,11.35662422,0,1,1,1,1,1,1,1,1,1,1,4,9,9,9,38,75,104,125,173,204,241,291,376,436,548,621,678,724,781,858,906,1003,1109,1214,1325,1371,1418,1479,1559,1592,1644,1722,1811,1835,1903
P.A. Trento,Italy,46.06893511,11.12123097,0,0,0,0,0,0,0,0,4,5,7,10,14,23,33,52,77,107,163,206,378,378,385,455,523,642,782,954,1023,1110,1222,1297,1391,1505,1594,1682,1746,1870,2003,2109,2220,2285,2348,2476,2602,2708
Piemonte,Italy,45.0732745,7.680687483,3,3,3,2,11,11,49,51,56,82,108,143,207,360,350,453,501,580,840,873,1111,1516,1897,2341,2932,3461,3752,4420,4861,5515,6024,6534,7092,7671,8206,8712,9301,9795,10353,10896,11709,12362,12924,13343,13883,14522
Puglia,Italy,41.12559576,16.86736689,0,0,0,1,3,3,3,4,6,9,14,17,26,40,50,59,77,104,129,166,230,230,340,383,478,581,675,786,906,1005,1093,1182,1334,1458,1549,1712,1803,1946,2077,2182,2240,2317,2444,2514,2634,2716
Sardegna,Italy,39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,2,2,5,5,11,19,20,37,39,43,47,77,107,117,134,206,293,330,339,359,421,442,494,530,624,638,682,722,745,794,825,874,907,922,935,975,1026
Sicilia,Italy,38.11569725,13.362356699999998,0,3,3,4,4,4,9,7,7,18,18,24,35,53,54,62,83,115,130,156,188,213,237,282,340,408,490,630,721,846,994,1164,1250,1359,1460,1555,1647,1718,1791,1859,1932,1994,2046,2097,2159,2232
Toscana,Italy,43.76923077,11.25588885,0,2,2,2,8,11,13,13,19,38,61,79,113,166,208,264,320,364,470,630,781,866,1053,1330,1482,1793,2012,2277,2461,2699,2972,3226,3450,3817,4122,4412,4608,4867,5273,5499,5671,5847,6001,6173,6379,6552
Umbria,Italy,43.10675841,12.38824698,0,0,0,0,0,0,2,2,8,9,9,16,24,26,28,37,46,64,76,107,143,164,197,247,334,395,462,521,577,648,710,802,884,969,1023,1051,1078,1095,1128,1179,1210,1239,1253,1263,1289,1298
Valle d'Aosta,Italy,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,2,7,8,9,15,17,20,27,28,42,57,105,136,165,215,264,313,364,393,400,401,408,452,511,584,584,628,631,668,719,748,782,805,835,850,868
Veneto,Italy,45.43490485,12.33845213,33,43,71,111,151,191,263,273,307,360,407,488,543,670,744,856,1023,1384,1595,1937,2172,2473,2704,3214,3484,4031,4617,5122,5505,5948,6442,6935,7497,7930,8358,8724,9155,9625,10111,10464,10824,11226,11588,11925,12410,12933
